Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs,Wkt,Best,Avg,Ca,St
1,Nathan Lyon,2016–,1,0,0,0,0,0,6,0,15,0,0,0,0,0
2,Chris Lynn,2009–,50,50,3,1500,90,35,0,0,0,0,0,0,41,0
3,Andrew Tye,2016–,18,7,3,36,20,9,403,1,585,28,Apr-23,20.89,6,0
4,Glenn Maxwell,2012-,49,43,8,1153,145,32.94,522,0,660,24,03-Oct,27.5,25,0
5,Aaron Finch,2011–,42,42,7,1596,172,45.6,12,0,27,0,0,0,15,0
6,Steve Smith,2010–,30,25,5,431,90,21.55,291,1,377,17,Mar-20,22.17,18,0
7,David Warner,2009–,70,70,3,1729,90,26.74,0,0,0,0,0,0,41,0
8,Josh Hazlewood,2013-,7,0,0,0,0,0,168,0,269,8,Apr-30,33.62,1,0
9,Pat Cummins,2011–,18,10,3,28,13,4,414,3,472,23,Mar-15,20.52,4,0
10,John Hastings,2010–2016,9,6,2,46,15,11.5,186,0,247,7,Mar-14,35.28,2,0
11,Mitchell Starc,2012-,22,6,2,12,4,3,501,1,566,30,03-Nov,18.86,6,0
12,Ashton Agar,2016–,13,6,1,63,29,12.6,234,1,300,10,Mar-27,30,10,0
13,Matthew Wade,2009–,72,72,3,599,90,26.74,0,0,0,0,0,0,41,15
14,Xavier Doherty,2012–2013,11,4,3,18,9,18,228,0,300,10,Mar-20,30,0,0
15,Adam Zampa,2016–,13,3,3,11,5,0,258,0,258,17,Mar-16,15.17,0,0
441,Joe Burns,20140,14,25,0,919,170,36.76,0,0,0,0,0,0,15,0
442,Adam Voges,201502016,20,31,7,1485,269*,61.87,76,1,44,0,0,0,15,0
443,Peter Nevill,20150,17,23,2,468,66,22.28,0,0,0,0,0,0,61,2
444,Jon Holland,20160,2,4,3,1,1,1,492,13,274,5,Feb-72,54.8,0,0
