Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs,Wkt,Best,Avg,Ca,St
1,Michael Clarke,2005–2010,34,28,5,488,67,21.21,156,0,225,6,01-Feb,37.5,13,0
2,Adam Gilchrist,2005–2008,13,13,1,272,48,22.66,0,0,0,0,0,0,17,0
3,James Hopes,2005–2010,12,7,2,105,30,21,222,0,283,10,Feb-26,28.3,3,0
4,Michael Hussey,2005–2010,27,20,7,57,60,35.15,6,0,5,0,0,0,18,0
5,Michael Kasprowicz,2005,2,1,1,3,3,0,42,0,57,5,Apr-29,11.4,2,0
6,Simon Katich,2005–2006,3,2,0,69,39,34.5,0,0,0,0,0,0,2,0
7,Brett Lee,2005–2012,25,12,6,101,43,16.83,545,0,714,28,Mar-23,25.5,6,0
8,Damien Martyn,2005–2006,4,4,0,120,96,30,0,0,0,0,0,0,1,0
9,Glenn McGrath,2005,2,1,0,5,5,5,48,0,79,5,Mar-31,15.8,1,0
10,Ricky Ponting,2005–2009,17,16,2,401,98,28.64,0,0,0,0,0,0,8,0
11,Andrew Symonds,2005–2009,14,11,4,337,85,48.14,185,0,277,8,Feb-14,34.62,3,0
12,Jason Gillespie,2005,1,1,0,24,24,24,24,0,49,1,Jan-49,49,0,0
13,Matthew Hayden,2005–2009,9,9,3,308,73,51.33,0,0,0,0,0,0,1,0
14,Nathan Bracken,2006–2009,19,6,3,15,4,5,377,2,438,19,03-Nov,23.05,6,0
15,Stuart Clark,2006–2007,9,0,0,0,0,0,216,0,237,13,Apr-20,18.23,4,0
16,Brad Haddin,2006–2014,34,29,6,402,47,17.47,0,0,0,0,0,0,17,6
17,Mick Lewis,2006,2,0,0,0,0,0,45,0,49,4,Feb-18,12.25,1,0
18,Brad Hogg,2006–2014,15,4,0,55,41,13.75,294,1,373,7,Feb-31,53.28,1,0
19,Shane Watson,2006–2016,58,56,6,1462,124,29.24,930,2,"1,187",48,Apr-15,24.72,20,0
20,Shane Harwood,2007–2009,3,1,1,0,0,0,72,0,113,3,Feb-21,37.66,0,0
21,Ben Hilfenhaus,2007–2012,7,3,1,2,2,1,156,0,161,9,Feb-15,17.89,0,0
22,Cameron White,2007–2014,47,44,14,984,85,32.8,42,0,51,1,01-Nov,51,23,0
23,Brad Hodge,2007–2014,15,11,4,183,36,26.14,30,0,43,1,Jan-13,43,5,0
24,Mitchell Johnson,2007–2013,30,17,7,109,28,10.9,656,2,797,38,Mar-15,20.97,5,0
25,Ashley Noffke,2007–2008,2,1,0,0,0,0,45,1,41,4,Mar-18,10.25,0,0
26,Luke Pomersbach,2007,1,1,0,15,15,15,0,0,0,0,0,0,0,0
27,Shaun Tait,2007–2016,21,6,2,11,6,2.75,478,2,589,28,Mar-13,21.03,3,0
28,Adam Voges,2007–2013,7,5,2,139,51,46.33,12,0,5,2,02-May,2.5,3,0
29,David Hussey,2008–2012,39,36,3,756,88,22.9,361,1,392,19,Mar-25,20.63,24,0
30,Shaun Marsh,2008–,15,15,1,255,47,18.21,0,0,0,0,0,0,3,0
31,Luke Ronchi,2008–2009,3,2,0,47,36,23.5,0,0,0,0,0,0,0,0
33,Callum Ferguson,2009,3,3,0,16,8,5.33,0,0,0,0,0,0,1,0
34,Moisés Henriques,2009–,11,8,3,159,62,31.8,102,0,158,4,Feb-35,39.5,3,0
35,Peter Siddle,2009–2010,2,1,1,1,1,0,48,0,58,3,Feb-24,19.33,0,0
36,Brett Geeves,2009,1,0,0,0,0,0,20,0,35,2,Feb-35,17.5,0,0
37,Ben Laughlin,2009–2013,3,0,0,0,0,0,71,0,118,2,Jan-32,59,1,0
38,Nathan Hauritz,2009,3,2,0,6,4,3,44,0,47,2,Jan-20,23.5,1,0
39,Marcus North,2009,1,1,0,20,20,20,0,0,0,0,0,0,0,0
40,Dirk Nannes,2009–2010,15,4,3,16,12,16,318,2,403,27,Apr-18,14.92,1,0
41,Tim Paine[a],2009–,10,7,1,47,21,7.83,0,0,0,0,0,0,10,2
42,Travis Birt,2010–2012,4,3,0,31,17,10.33,0,0,0,0,0,0,1,0
44,Daniel Christian,2010–2014,16,7,3,27,9,6.75,213,0,317,11,Mar-27,28.18,5,0
45,Ryan Harris,2010,3,1,1,2,2,0,70,1,95,4,Feb-27,23.75,0,0
46,Stephen O'Keefe,2010–2011,7,5,0,32,22,6.4,114,0,149,6,Mar-29,24.83,1,0
48,Clint McKay,2010–2013,6,4,2,19,7,9.5,136,1,183,4,Feb-24,47.45,0,0
