Cap,Name,First,Last,Mat,Runs,HS,Avg,Balls,Wkt,BBI,Ave,Ca,St
1,Geoffrey Boycott double-dagger,1971,1981,36,1082,105,36.06,168,5,Feb-14,21,5,0
2,Colin Cowdrey,1971,1971,1,1,1,1,0,0,0,0,0,0
3,Basil D'Oliveira,1971,1972,4,30,17,10,204,3,Jan-19,46.66,1,0
4,John Edrich double-dagger,1971,1975,7,223,90,37.16,0,0,0,0,0,0
5,Keith Fletcher double-dagger,1971,1982,24,757,131,39.84,0,0,0,0,4,0
6,John Hampshire,1971,1972,3,48,25,24,0,0,0,0,0,0
7,Ray Illingworth double-dagger,1971,1973,3,5,4,2.5,130,4,Mar-50,21,1,0
8,Alan Knott double-daggerdagger,1971,1977,20,200,50,20,0,0,0,0,15,1
9,Peter Lever,1971,1975,10,17,8,17,440,11,Apr-35,23.72,2,0
10,Ken Shuttleworth,1971,1971,1,7,7,7,56,1,Jan-29,29,1,0
11,John Snow,1971,1975,9,9,5,4.5,538,14,04-Nov,16.57,1,0
12,Dennis Amiss,1972,1977,18,859,137,47.72,0,0,0,0,2,0
13,Geoff Arnold,1972,1975,14,48,18,16,714,19,Apr-27,17.84,2,0
14,Brian Close double-dagger,1972,1972,3,49,43,16.33,18,0,0,0,1,0
15,Tony Greig double-dagger,1972,1977,22,269,48,16.81,916,19,Apr-45,32.57,7,0
16,Bob Woolmer,1972,1976,6,21,9,5.25,321,9,Mar-33,28.88,3,0
17,Barry Wood,1972,1982,13,314,78*,31.4,420,9,Feb-14,24.88,6,0
18,Frank Hayes,1973,1975,6,128,52,25.6,0,0,0,0,0,0
19,Graham Roope,1973,1978,8,173,44,21.62,0,0,0,0,2,0
20,Derek Underwood,1973,1982,26,53,17,5.88,1278,32,Apr-44,22.93,6,0
21,Mike Denness double-dagger,1973,1975,12,264,66,29.33,0,0,0,0,1,0
22,Mike Hendrick,1973,1981,22,6,2*,1.2,1248,35,May-31,19.45,5,0
23,Chris Old,1973,1981,32,338,51*,18.77,1755,45,04-Aug,22.2,8,0
24,Mike Smith,1973,1975,5,70,31,31.65,0,0,0,0,1,0
25,Bob Taylor dagger,1973,1984,27,130,26*,13,0,0,0,0,26,6
26,Bob Willis double-dagger,1973,1984,64,83,24,10.37,3595,80,04-Nov,24.6,22,0
27,John Jameson,1973,1975,3,60,28,20,12,0,0,0,0,0
28,David Lloyd,1973,1980,8,285,116*,40.71,12,1,01-Mar,3,3,0
29,Robin Jackman,1974,1983,15,54,14,6.75,873,19,Mar-41,31.47,4,0
30,Brian Luckhurst,1975,1975,3,15,14,5,0,0,0,0,0,0
31,Fred Titmus,1975,1975,2,11,11,11,56,3,Mar-53,17.66,1,0
32,Graham Barlow,1976,1977,6,149,80*,29.8,0,0,0,0,4,0
33,Ian Botham double-dagger,1976,1992,116,2113,79,23.21,6271,145,Apr-31,28.54,36,0
34,Graham Gooch double-dagger,1976,1995,125,4290,142,36.98,2066,36,Mar-19,42.11,45,0
35,John Lever,1976,1982,22,56,27*,8,1152,24,Apr-29,29.7,6,0
36,David Steele,1976,1976,1,8,8,8,6,0,0,0,0,0
37,Derek Randall,1976,1985,49,1067,88,26.67,2,1,01-Feb,2,25,0
38,Mike Brearley double-dagger,1977,1980,25,510,78,24.28,0,0,0,0,12,0
39,Peter Willey,1977,1986,26,538,64,23.39,1031,13,Mar-33,50.69,4,0
40,Geoff Miller,1977,1984,25,136,46,8.5,1268,25,Mar-27,32.52,4,0
41,Paul Downton dagger,1977,1988,28,242,44*,16.13,0,0,0,0,26,3
42,Phil Edmonds,1977,1987,29,116,20,10.54,1534,26,Mar-39,37.11,6,0
43,Mike Gatting double-dagger,1977,1993,92,2095,115*,29.5,392,10,Mar-32,33.6,22,0
44,Brian Rose,1977,1977,2,99,54,49.5,0,0,0,0,1,0
45,Geoff Cope,1977,1978,2,1,1*,0,112,2,Jan-16,17.5,0,0
46,David Gower double-dagger,1978,1991,114,3170,158,30.77,5,0,0,0,44,0
47,Clive Radley,1978,1978,4,250,117*,83.33,0,0,0,0,0,0
48,Roger Tolchard dagger,1979,1979,1,0,0,0,0,0,0,0,1,0
49,David Bairstow dagger,1979,1984,21,206,23*,14.71,0,0,0,0,17,4
50,Wayne Larkins,1979,1991,25,591,124,24.62,15,0,0,0,8,0
51,Graham Dilley,1979,1988,36,114,31*,11.4,2403,48,Apr-23,26.89,4,0
52,John Emburey double-dagger,1980,1993,61,501,34,14.31,3425,76,Apr-37,30.86,19,0
53,Graham Stevenson,1980,1981,4,43,28*,43,192,7,Apr-33,17.85,2,0
54,Chris Tavaré,1980,1984,29,720,83*,27.69,12,0,0,0,7,0
55,Vic Marks,1980,1988,34,285,44,13.57,1838,44,May-20,25.79,8,0
56,Bill Athey,1980,1988,31,848,142*,31.4,6,0,0,0,16,0
57,Alan Butcher,1980,1980,1,14,14,14,0,0,0,0,0,0
58,Roland Butcher,1980,1981,3,58,52,19.33,0,0,0,0,0,0
59,Geoff Humpage dagger,1981,1981,3,11,6,5.5,0,0,0,0,2,0
60,Jim Love,1981,1981,3,61,43,20.33,0,0,0,0,1,0
61,Geoff Cook,1981,1983,6,106,32,17.66,0,0,0,0,2,0
62,Jack Richards dagger,1981,1988,22,154,50,11.84,0,0,0,0,16,1
63,Paul Allott,1982,1985,13,15,8,3,819,15,Mar-41,36.8,2,0
64,Allan Lamb double-dagger,1982,1992,122,4010,118,39.31,6,0,0,0,31,0
65,Eddie Hemmings,1982,1991,33,30,8*,5,1752,37,Apr-52,34.97,5,0
66,Derek Pringle,1982,1993,44,425,49*,23.61,2379,44,Apr-42,38.11,11,0
67,Norman Cowans,1982,1985,23,13,4*,2.6,1282,23,Mar-44,39.69,5,0
68,Trevor Jesty,1983,1983,10,127,52*,21.16,108,1,Jan-27,93,5,0
69,Ian Gould dagger,1983,1983,18,155,42,12.91,0,0,0,0,15,3
70,Graeme Fowler dagger,1983,1986,26,744,81*,31,0,0,0,0,4,2
71,Neil Foster,1984,1989,48,150,24,11.53,2627,59,Mar-20,31.11,12,0
72,Chris Smith,1984,1984,4,109,70,27.25,36,2,02-Aug,14,0,0
73,Nick Cook,1984,1984,3,0,0,0,144,5,Feb-18,19,2,0
74,Andy Lloyd,1984,1984,3,101,49,33.66,0,0,0,0,0,0
75,Richard Ellison,1984,1986,14,86,24,10.75,696,12,Mar-42,42.5,2,0
76,Tim Robinson,1984,1988,26,597,83,22.96,0,0,0,0,6,0
77,Jonathan Agnew,1985,1985,3,2,2*,0,126,3,Mar-38,40,1,0
78,Chris Cowdrey,1985,1985,3,51,46*,25.5,52,2,01-Mar,27.5,0,0
79,Martyn Moxon,1985,1988,8,174,70,21.75,0,0,0,0,5,0
80,Bruce French dagger,1985,1988,13,34,9*,6.8,0,0,0,0,13,3
81,Norman Gifford double-dagger,1985,1985,2,0,0,0,120,4,Apr-23,12.5,1,0
82,Colin Wells,1985,1985,2,22,17,11,0,0,0,0,0,0
83,Rob Bailey,1985,1990,4,137,43*,68.5,36,0,0,0,1,0
84,Pat Pocock,1985,1985,1,4,4,4,60,0,0,0,0,0
85,Les Taylor,1986,1986,2,1,1*,0,84,0,0,0,0,0
86,Greg Thomas,1986,1987,3,1,1*,1,156,3,Feb-59,48,0,0
87,Wilf Slack,1986,1986,2,43,34,21.5,0,0,0,0,0,0
88,David Smith,1986,1990,2,15,10*,15,0,0,0,0,0,0
89,Mark Benson,1986,1986,1,24,24,24,0,0,0,0,0,0
90,Chris Broad,1987,1988,34,1361,106,40.02,6,0,0,0,10,0
91,Phillip DeFreitas,1987,1997,103,690,67,16.04,5712,115,Apr-35,32.82,26,0
92,Gladstone Small,1987,1992,53,98,18*,6.53,2793,58,Apr-31,33.48,7,0
93,David Capel,1987,1990,23,327,50*,19.23,1038,17,Mar-38,47.35,6,0
94,Neil Fairbrother,1987,1999,75,2092,113,39.47,6,0,0,0,33,0
95,James Whitaker,1987,1987,2,48,44*,48,0,0,0,0,1,0
96,Jack Russell dagger,1987,1998,40,423,50,17.62,0,0,0,0,41,6
97,Paul Jarvis,1988,1993,16,31,16*,5.16,879,24,May-35,28,1,0
98,Neal Radford,1988,1988,6,0,0*,0,348,2,Jan-32,115,2,0
99,Monte Lynch,1988,1988,3,8,6,2.66,0,0,0,0,1,0
100,Kim Barnett,1988,1988,1,84,84,84,0,0,0,0,0,0
101,Robin Smith,1988,1996,71,2419,167*,39.01,0,0,0,0,26,0
102,Steve Rhodes dagger,1989,1995,9,107,56,17.83,0,0,0,0,9,2
103,Angus Fraser,1989,1999,42,141,38*,12.81,2392,47,Apr-22,30.04,5,0
104,Alec Stewart double-daggerdagger,1989,2003,170,4677,116,31.6,0,0,0,0,159,15
105,Nasser Hussain double-dagger,1989,2003,88,2332,115,30.28,0,0,0,0,40,0
106,Chris Lewis,1990,1998,53,374,33,14.38,2625,66,Apr-30,29.42,20,0
107,Devon Malcolm,1990,1994,10,9,4,3,526,16,Mar-40,25.25,1,0
108,Michael Atherton double-dagger,1990,1998,54,1791,127,35.11,0,0,0,0,15,0
109,John Morris,1990,1991,8,167,63*,23.85,0,0,0,0,2,0
110,Martin Bicknell,1990,1991,7,96,31*,24,413,13,Mar-55,26.69,2,0
111,Phil Tufnell,1990,1997,20,15,5*,15,1020,19,Apr-22,36.78,4,0
112,Graeme Hick,1991,2001,120,3846,126*,37.33,1236,30,May-33,34.2,64,0
113,Richard Illingworth,1991,1996,25,68,14,11.33,1501,30,Mar-33,35.3,8,0
114,Mark Ramprakash,1991,2001,18,376,51,28.65,132,4,Mar-28,27,8,0
115,David Lawrence,1991,1991,1,0,0,0,66,4,Apr-67,16.75,0,0
116,Dermot Reeve,1991,1996,29,291,35,24.25,1147,20,Mar-20,41,12,0
117,Richard Blakey dagger,1992,1993,3,25,25,12.5,0,0,0,0,2,1
118,Dominic Cork,1992,2002,32,180,31*,10,1772,41,Mar-27,33.36,6,0
119,Ian Salisbury,1993,1994,4,7,5,7,186,5,Mar-41,35.4,1,0
120,Paul Taylor,1993,1993,1,1,1,1,18,0,0,0,0,0
121,Andrew Caddick,1993,2003,54,249,36,12.45,2937,69,Apr-19,28.47,9,0
122,Graham Thorpe double-dagger,1993,2002,82,2380,89,37.18,120,2,Feb-15,48.5,42,0
123,Alan Igglesden,1994,1994,4,20,18,10,168,2,02-Dec,61,1,0
124,Matthew Maynard,1994,2000,14,156,41,14.18,0,0,0,0,4,0
125,Steve Watkin,1994,1994,4,4,4,2,221,7,Apr-49,27.57,0,0
