Cap,Name,First,Last,Mat,Runs,HS,Avg,Balls,Wkt,BBI,Ave,Ca,St
241,Mark Wood,2015,2018,31,44,13,8.8,1615,32,Apr-33,46.18,8,0
231,Chris Jordan,2013,2016,31,169,38*,12.07,1532,43,May-29,35.37,19,0
248,Tom Curran,2017,2018,8,70,35,70,370,12,May-35,31.41,4,0
245,Jake Ball,2016,2018,18,38,28,9.5,947,21,May-51,46.66,5,0
226,Jos Buttler ,2012,2018,114,3091,129,40.67,0,0,0,0,144,23
227,Joe Root,2013,2018,113,4584,133*,49.82,1336,20,Mar-52,64.5,54,0
208,Eoin Morgan ,2009,2018,182,5458,124*,37.38,0,0,0,0,67,0
223,Jonny Bairstow ,2011,2018,48,1856,141*,51.55,0,0,0,0,22,2
232,Moeen Ali,2014,2018,79,1547,128,27.14,3759,72,Apr-56,44.26,26,0
236,Alex Hales,2014,2018,65,2302,171,38.36,0,0,0,0,24,0
238,Jason Roy,2015,2018,63,2344,180,39.06,0,0,0,0,22,0
242,Sam Billings ,2015,2018,15,271,62,22.58,0,0,0,0,13,0
217,Chris Woakes,2011,2018,76,1034,95*,27.94,3654,109,Jun-45,30.77,32,0
210,Adil Rashid,2009,2018,70,469,69,20.39,3598,107,May-27,31.14,22,0
196,Alastair Cook ,2006,2014,92,3204,137,36.4,0,0,0,0,36,0
221,Ben Stokes,2011,2018,67,1791,102*,35.82,2181,58,May-61,38.01,34,0
240,David Willey,2015,2018,39,194,35*,17.63,1617,43,Apr-34,36.09,19,0
249,Craig Overton,2018,2018,1,0,0,0,42,0,0,0,2,0
250,Sam Curran,2018,2018,1,0,0,0,36,2,Feb-44,22,0,0
