Cap,Name,Wkt
2,Mahendra Singh Dhoni ,13.64328470511225
4,Dinesh Karthik ,19.550550066996486
17,Rohit Sharma ,14.6987038907128
31,Virat Kohli ,17.46035423094704
36,Shikhar Dhawan,17.932121200726833
42,Umesh Yadav,23.38138128293238
45,Bhuvneshwar Kumar,28.308916754772135
52,Manish Pandey,19.145942850429073
53,Axar Patel,23.22297881883069
57,Jasprit Bumrah,32.40315483580014
58,Hardik Pandya,29.131892878008067
60,Yuzvendra Chahal,32.80432162984227
63,K. L. Rahul,19.631471510309968
64,Jaydev Unadkat,24.939531241040207
69,Kuldeep Yadav,28.048950312205307
70,Shreyas Iyer,20.683450273385244
33,Suresh Raina,13.886049035052697
