Cap,Name,Avg
1,Nathan Lyon,14.57299578511985
2,Chris Lynn,42.162739971774535
3,Andrew Tye,7.280269285335828
4,Glenn Maxwell,41.51951475152297
5,Aaron Finch,65.71573243373805
6,Steve Smith,19.439354816826523
7,David Warner,32.840957121424225
8,Josh Hazlewood,8.161729087189997
9,Pat Cummins,7.206028831324518
10,John Hastings,14.375428037853576
11,Mitchell Starc,-1.0262664963129495
12,Ashton Agar,7.9842511853911375
13,Matthew Wade,-19.314455879690495
14,Xavier Doherty,13.679143419139384
15,Adam Zampa,11.137312279294935
441,Joe Burns,43.856321492878536
442,Adam Voges,83.2609289916162
443,Peter Nevill,26.1699510197446
444,Jon Holland,22.540735121708245
