Cap,Name,St
1,Nathan Lyon,0.06684170430893031
2,Chris Lynn,1.0209435525515869
3,Andrew Tye,0.22330344432495558
4,Glenn Maxwell,0.9005961813908725
5,Aaron Finch,0.8679261131442086
6,Steve Smith,0.5540497946708147
7,David Warner,1.4034871510700322
8,Josh Hazlewood,0.08038459262967196
9,Pat Cummins,0.27391353994235157
10,John Hastings,0.1861190799713778
11,Mitchell Starc,0.215462004666318
12,Ashton Agar,0.19514767218520557
13,Matthew Wade,1.4417415109218767
14,Xavier Doherty,0.156893312333361
15,Adam Zampa,0.14453757656780958
441,Joe Burns,0.5179354258155038
442,Adam Voges,0.6326985053710374
443,Peter Nevill,0.4909668062309439
444,Jon Holland,0.1365789798522486
